diag1_4,DIAGNOSIS_GROUP,label
A279,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A280,3,Bacterial infection; unspecified site
A281,3,Bacterial infection; unspecified site
A282,3,Bacterial infection; unspecified site
A288,3,Bacterial infection; unspecified site
A289,3,Bacterial infection; unspecified site
A300,3,Bacterial infection; unspecified site
A301,3,Bacterial infection; unspecified site
A302,3,Bacterial infection; unspecified site
A303,3,Bacterial infection; unspecified site
A304,3,Bacterial infection; unspecified site
A305,3,Bacterial infection; unspecified site
A308,3,Bacterial infection; unspecified site
A309,3,Bacterial infection; unspecified site
A310,73,Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
A311,107,Skin and subcutaneous tissue infections
A318,3,Bacterial infection; unspecified site
A319,3,Bacterial infection; unspecified site
A320,107,Skin and subcutaneous tissue infections
A321,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A327,2,"Septicaemia (except in labour), Shock"
A328,3,Bacterial infection; unspecified site
A329,3,Bacterial infection; unspecified site
A33X,119,Other perinatal conditions
A34X,106,"Female infertility, Contraceptive & procreative management, Spontaneous abortion, Induced abortion, Postabortion complications, Ectopic pregnancy, Other complications of pregnancy, Hemorrhage during pregnancy; abruption placenta; placenta previa, Hypertension complicating pregnancy; childbirth; or the puerperium, Early or threatened labor, Prolonged pregnancy,  Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium, Malposition; malpresentation, Fetopelvic disproportion; obstruction, Previous C-section, Fetal distress and abnormal forces of labour, Polyhydramnios and other problems of amniotic cavity, Umbilical cord complication, OB-related trauma to perineum and vulva, Forceps delivery, Other complications of birth; puerperium affecting management of mother, Normal pregnancy and/or delivery, Livebirths"
A35X,3,Bacterial infection; unspecified site
A360,82,"Influenza, Acute and chronic tonsillitis, Other upper respiratory infections, Other upper respiratory disease, Disorders of teeth and jaw, Diseases of mouth; excluding dental"
A361,82,"Influenza, Acute and chronic tonsillitis, Other upper respiratory infections, Other upper respiratory disease, Disorders of teeth and jaw, Diseases of mouth; excluding dental"
A362,82,"Influenza, Acute and chronic tonsillitis, Other upper respiratory infections, Other upper respiratory disease, Disorders of teeth and jaw, Diseases of mouth; excluding dental"
A363,107,Skin and subcutaneous tissue infections
A368,3,Bacterial infection; unspecified site
A369,3,Bacterial infection; unspecified site
A370,82,"Influenza, Acute and chronic tonsillitis, Other upper respiratory infections, Other upper respiratory disease, Disorders of teeth and jaw, Diseases of mouth; excluding dental"
A371,82,"Influenza, Acute and chronic tonsillitis, Other upper respiratory infections, Other upper respiratory disease, Disorders of teeth and jaw, Diseases of mouth; excluding dental"
A378,82,"Influenza, Acute and chronic tonsillitis, Other upper respiratory infections, Other upper respiratory disease, Disorders of teeth and jaw, Diseases of mouth; excluding dental"
A379,82,"Influenza, Acute and chronic tonsillitis, Other upper respiratory infections, Other upper respiratory disease, Disorders of teeth and jaw, Diseases of mouth; excluding dental"
A38X,3,Bacterial infection; unspecified site
A390,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A391,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A392,2,"Septicaemia (except in labour), Shock"
A393,2,"Septicaemia (except in labour), Shock"
A394,2,"Septicaemia (except in labour), Shock"
A395,55,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)
A398,3,Bacterial infection; unspecified site
A399,3,Bacterial infection; unspecified site
A400,2,"Septicaemia (except in labour), Shock"
A401,2,"Septicaemia (except in labour), Shock"
A402,2,"Septicaemia (except in labour), Shock"
A403,2,"Septicaemia (except in labour), Shock"
A408,2,"Septicaemia (except in labour), Shock"
A409,2,"Septicaemia (except in labour), Shock"
A410,2,"Septicaemia (except in labour), Shock"
A411,2,"Septicaemia (except in labour), Shock"
A412,2,"Septicaemia (except in labour), Shock"
A413,2,"Septicaemia (except in labour), Shock"
A414,2,"Septicaemia (except in labour), Shock"
A415,2,"Septicaemia (except in labour), Shock"
A418,2,"Septicaemia (except in labour), Shock"
A419,2,"Septicaemia (except in labour), Shock"
A420,73,Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
A421,3,Bacterial infection; unspecified site
A422,3,Bacterial infection; unspecified site
A427,2,"Septicaemia (except in labour), Shock"
A428,3,Bacterial infection; unspecified site
A429,3,Bacterial infection; unspecified site
A430,73,Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
A431,107,Skin and subcutaneous tissue infections
A438,3,Bacterial infection; unspecified site
A439,3,Bacterial infection; unspecified site
A440,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A441,107,Skin and subcutaneous tissue infections
A448,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A449,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A46X,107,Skin and subcutaneous tissue infections
A480,107,Skin and subcutaneous tissue infections
A481,73,Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
A482,3,Bacterial infection; unspecified site
A483,105,"Inflammatory diseases of female pelvic organs, Endometriosis, Prolapse of female genital organs, Menstrual disorders, Ovarian cyst, Menopausal disorders, Other female genital disorders"
A484,3,Bacterial infection; unspecified site
A488,3,Bacterial infection; unspecified site
A490,3,Bacterial infection; unspecified site
A491,3,Bacterial infection; unspecified site
A492,3,Bacterial infection; unspecified site
A493,3,Bacterial infection; unspecified site
A498,3,Bacterial infection; unspecified site
A499,3,Bacterial infection; unspecified site
A500,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A501,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A502,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A503,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A504,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A505,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A506,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A507,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A509,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A510,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A511,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A512,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A513,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A514,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A515,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A519,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A520,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A521,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A522,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A523,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A527,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A528,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A529,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A530,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A539,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A540,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A541,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A542,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A543,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A544,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A545,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A546,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A548,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A549,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A55X,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A560,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A561,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A562,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A563,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A564,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A568,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A57X,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A58X,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A590,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A598,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A599,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A600,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A601,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A609,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A630,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A638,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A64X,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A65X,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A660,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A661,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A662,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A663,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A664,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A665,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A666,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A667,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A668,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A669,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A670,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A671,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A672,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A673,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A679,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A680,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A681,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A689,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A690,82,"Influenza, Acute and chronic tonsillitis, Other upper respiratory infections, Other upper respiratory disease, Disorders of teeth and jaw, Diseases of mouth; excluding dental"
A691,82,"Influenza, Acute and chronic tonsillitis, Other upper respiratory infections, Other upper respiratory disease, Disorders of teeth and jaw, Diseases of mouth; excluding dental"
A692,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A698,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A699,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A70X,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A710,52,"Headache; including migraine, Cataract, Retinal detachments; defects; vascular occlusion; and retinopathy, Glaucoma, Blindness and vision defects, Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitted disease), Other eye disorders, Otitis media and related conditions, Conditions associated with dizziness or vertigo, Other ear and sense organ disorders"
A711,52,"Headache; including migraine, Cataract, Retinal detachments; defects; vascular occlusion; and retinopathy, Glaucoma, Blindness and vision defects, Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitted disease), Other eye disorders, Otitis media and related conditions, Conditions associated with dizziness or vertigo, Other ear and sense organ disorders"
A719,52,"Headache; including migraine, Cataract, Retinal detachments; defects; vascular occlusion; and retinopathy, Glaucoma, Blindness and vision defects, Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitted disease), Other eye disorders, Otitis media and related conditions, Conditions associated with dizziness or vertigo, Other ear and sense organ disorders"
A740,52,"Headache; including migraine, Cataract, Retinal detachments; defects; vascular occlusion; and retinopathy, Glaucoma, Blindness and vision defects, Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitted disease), Other eye disorders, Otitis media and related conditions, Conditions associated with dizziness or vertigo, Other ear and sense organ disorders"
A748,52,"Headache; including migraine, Cataract, Retinal detachments; defects; vascular occlusion; and retinopathy, Glaucoma, Blindness and vision defects, Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitted disease), Other eye disorders, Otitis media and related conditions, Conditions associated with dizziness or vertigo, Other ear and sense organ disorders"
A749,52,"Headache; including migraine, Cataract, Retinal detachments; defects; vascular occlusion; and retinopathy, Glaucoma, Blindness and vision defects, Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitted disease), Other eye disorders, Otitis media and related conditions, Conditions associated with dizziness or vertigo, Other ear and sense organ disorders"
A750,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A751,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A752,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A753,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A759,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A770,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A771,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A772,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A773,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A778,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A779,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A78X,73,Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
A790,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A791,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A798,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A799,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A800,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A801,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A802,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A803,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A804,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A809,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A810,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A811,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A812,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A818,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A819,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A820,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A821,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A829,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A830,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A831,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
